Stn,Lat,Lon,Depth,dCu,dCu_StDev,Sal,O2,Phosph,Nitrate,Silicate,,,,,,,,,
,[North],[West],[m],[nmol kg-1],[nmol kg-1],[PSS-78],[umol kg-1],[umol kg-1],[umol kg-1],[umol kg-1],,,,,,,,,
P16,49.28,-134.66,2000,3.48,0.12,34.6,49.0,3.04,41.76,163.7,,,,,,,,,
P20,49.57,-138.67,10,1.78,0.08,32.5,218.0,0.90,7.32,12.6,,,,,,,,,
P20,49.57,-138.67,25,1.80,0.20,32.6,231.0,0.94,7.80,13.0,,,,,,,,,
P20,49.57,-138.67,40,1.84,0.10,32.7,251.0,1.02,9.17,14.3,,,,,,,,,
P20,49.57,-138.67,50,1.82,0.04,32.7,246.0,1.08,9.80,14.8,,,,,,,,,
P20,49.57,-138.67,75,1.90,0.06,32.7,230.0,1.25,13.07,16.6,,,,,,,,,
P20,49.57,-138.67,100,2.07,0.07,33.2,182.0,1.62,20.49,26.7,,,,,,,,,
P20,49.57,-138.67,130,2.11,0.01,33.7,136.0,1.99,27.12,39.5,,,,,,,,,
P20,49.57,-138.67,150,2.45,0.01,33.8,137.0,2.05,28.20,43.0,,,,,,,,,
P20,49.57,-138.67,200,2.66,0.15,33.8,109.0,2.33,32.59,54.1,,,,,,,,,
P20,49.57,-138.67,240,2.71,0.07,33.9,80.0,2.62,36.88,66.6,,,,,,,,,
P20,49.57,-138.67,300,2.83,0.06,33.9,73.0,2.74,38.73,74.3,,,,,,,,,
P20,49.57,-138.67,400,2.96,0.30,34,42.0,2.96,41.56,90.8,,,,,,,,,
P20,49.57,-138.67,600,2.95,0.18,34.2,21.0,3.10,43.80,112.6,,,,,,,,,
P20,49.57,-138.67,800,2.99,0.07,34.3,15.0,3.18,44.59,127.9,,,,,,,,,
P20,49.57,-138.67,1000,2.61,0.02,34.4,13.0,3.21,44.49,140.2,,,,,,,,,
P20,49.57,-138.67,1400,2.87,0.04,34.5,18.0,3.17,44.29,155.9,,,,,,,,,
P20,49.57,-138.67,1600,3.01,0.08,34.5,27.0,3.12,44.00,160.8,,,,,,,,,
P20,49.57,-138.67,1800,3.08,0.01,34.6,37.0,3.00,42.54,163.2,,,,,,,,,
P20,49.57,-138.67,2000,3.46,0.03,34.6,47.0,3.00,42.54,166.1,,,,,,,,,
P26,49.99,-144.99,10,1.83,0.05,32.5,221.0,1.14,10.63,14.2,,,,,,,,,
P26,49.99,-144.99,25,1.79,0.06,32.5,223.0,1.16,10.93,14.0,,,,,,,,,
P26,49.99,-144.99,40,2.12,0.07,32.6,244.0,1.37,13.17,10.7,,,,,,,,,
P26,49.99,-144.99,50,2.31,0.02,32.7,258.0,1.47,15.22,22.6,,,,,,,,,
P26,49.99,-144.99,75,2.43,0.17,32.8,245.0,1.63,18.05,27.1,,,,,,,,,
P26,49.99,-144.99,100,2.28,0.15,32.8,240.0,1.69,19.22,29.3,,,,,,,,,
P26,49.99,-144.99,130,2.29,0.04,33.3,166.0,2.11,27.22,46.8,,,,,,,,,
P26,49.99,-144.99,150,2.43,0.07,33.7,124.0,2.43,31.90,56.9,,,,,,,,,
P26,49.99,-144.99,185,2.78,0.10,33.7,97.0,2.63,35.41,69.0,,,,,,,,,
P26,49.99,-144.99,200,2.96,0.01,33.8,96.0,2.66,35.32,67.8,,,,,,,,,
P26,49.99,-144.99,300,2.74,0.08,33.9,57.0,2.94,39.80,85.7,,,,,,,,,
P26,49.99,-144.99,400,2.92,0.08,34,37.0,3.02,40.98,98.3,,,,,,,,,
P26,49.99,-144.99,600,2.90,0.19,34.2,33.0,3.10,41.95,117.0,,,,,,,,,
P26,49.99,-144.99,800,2.83,0.02,34.3,19.0,3.15,42.44,130.7,,,,,,,,,
P26,49.99,-144.99,1000,2.94,0.09,34.4,16.0,3.19,43.12,144.8,,,,,,,,,
P26,49.99,-144.99,1200,2.95,0.04,34.4,16.0,3.18,43.22,148.5,,,,,,,,,
P26,49.99,-144.99,1400,3.06,0.06,34.5,20.0,3.18,43.22,155.9,,,,,,,,,
P26,49.99,-144.99,1600,3.19,0.01,34.5,28.0,3.11,42.73,160.5,,,,,,,,,
P26,49.99,-144.99,1800,3.22,0.10,34.6,39.0,3.05,42.24,163.1,,,,,,,,,
P26,49.99,-144.99,2000,3.30,0.06,34.6,48.0,3.00,41.66,165.6,,,,,,,,,
